Test,File,Status,Duration (ms),Error Message,Error Stack
AdminController Blackbox Tests › GET /admin/data › should return 400 when the table query parameter is missing,,passed,34,,
AdminController Blackbox Tests › GET /admin/data › should return 400 when the table query parameter is invalid,,passed,8,,
"AdminController Blackbox Tests › GET /admin/data › should return admin data correctly when table parameter is ""Admin""",,passed,9,,
AdminController Blackbox Tests › GET /admin/data › should return non-admin table data when a valid table parameter is provided,,passed,5,,
AdminController Blackbox Tests › GET /admin/data › should return 500 if db.query throws an error,,passed,11,,
AdminController Blackbox Tests › PUT /admin/data › should return 400 when the table query parameter is missing,,passed,24,,
AdminController Blackbox Tests › PUT /admin/data › should return 400 when data is missing or not an array,,passed,5,,
AdminController Blackbox Tests › PUT /admin/data › should process update requests correctly,,passed,7,,
AdminController Blackbox Tests › PUT /admin/data › should return 500 if db.query throws an error during update,,passed,8,,
Certificate Controller Blackbox Tests › should return 400 if any required certificate data is missing,,passed,7,,
Certificate Controller Blackbox Tests › should email certificate successfully,,passed,7,,
Certificate Controller Blackbox Tests › should return 500 if an error occurs during certificate emailing,,passed,7,,
Feedback Controller Blackbox Tests › GET /contactusfeedback › should return all feedback,,passed,6,,
Feedback Controller Blackbox Tests › GET /contactusfeedback › should return 500 if an error occurs,,passed,7,,
Feedback Controller Blackbox Tests › GET /contactusfeedback/:id › should return feedback by id,,passed,6,,
Feedback Controller Blackbox Tests › GET /contactusfeedback/:id › should return 404 if feedback is not found,,passed,6,,
Feedback Controller Blackbox Tests › GET /contactusfeedback/:id › should return 500 on error,,passed,7,,
Feedback Controller Blackbox Tests › POST /contactusfeedback › should create feedback successfully,,passed,7,,
Feedback Controller Blackbox Tests › POST /contactusfeedback › should return 500 on error,,passed,7,,
Feedback Controller Blackbox Tests › PUT /contactusfeedback/:id › should update feedback successfully,,passed,6,,
Feedback Controller Blackbox Tests › PUT /contactusfeedback/:id › should return 500 on error,,passed,7,,
Feedback Controller Blackbox Tests › DELETE /contactusfeedback/:id › should delete feedback successfully,,passed,6,,
Feedback Controller Blackbox Tests › DELETE /contactusfeedback/:id › should return 500 on error,,passed,6,,
Course Controller Blackbox Tests › GET /getAllCourses › should return courses filtered by keyword,,passed,6,,
Course Controller Blackbox Tests › GET /getAllCourses › should return 500 on error,,passed,5,,
Course Controller Blackbox Tests › GET /getCourse/:id › should return course data if found,,passed,5,,
Course Controller Blackbox Tests › GET /getCourse/:id › should return 404 if course not found,,passed,5,,
Course Controller Blackbox Tests › GET /getCourse/:id › should return 500 on error,,passed,5,,
Course Controller Blackbox Tests › POST /createCourse › should create a course successfully,,passed,6,,
Course Controller Blackbox Tests › POST /createCourse › should return 500 on error,,passed,6,,
Course Controller Blackbox Tests › PUT /updateCourse/:id › should update a course successfully,,passed,5,,
Course Controller Blackbox Tests › PUT /updateCourse/:id › should return 500 on error,,passed,6,,
Course Controller Blackbox Tests › DELETE /deleteCourse/:id › should return 400 if creator_id is missing,,passed,4,,
Course Controller Blackbox Tests › DELETE /deleteCourse/:id › should delete a course successfully,,passed,7,,
Course Controller Blackbox Tests › DELETE /deleteCourse/:id › should return 404 if course not found or not authorized,,passed,5,,
Course Controller Blackbox Tests › DELETE /deleteCourse/:id › should return 500 on error,,passed,9,,
Course Controller Blackbox Tests › GET /providerCourses › should return provider courses when creator_id is provided,,passed,6,,
Course Controller Blackbox Tests › GET /providerCourses › should return 400 if creator_id is missing,,passed,3,,
Course Controller Blackbox Tests › GET /providerCourses › should return 500 on error,,passed,6,,
Course Controller Blackbox Tests › GET /courseEnrolledStudents › should return enrolled students for a course,,passed,7,,
Course Controller Blackbox Tests › GET /courseEnrolledStudents › should return 400 if courseId is missing,,passed,4,,
Course Controller Blackbox Tests › GET /courseEnrolledStudents › should return 500 on error,,passed,5,,
Course Controller Blackbox Tests › GET /providerEnrollments › should return enrolled students for provider,,passed,7,,
Course Controller Blackbox Tests › GET /providerEnrollments › should return 400 if creator_id is missing,,passed,4,,
Course Controller Blackbox Tests › GET /providerEnrollments › should return 500 on error,,passed,9,,
Course Controller Blackbox Tests › POST /courseModule › should add a course module successfully,,passed,7,,
Course Controller Blackbox Tests › POST /courseModule › should return 500 on error,,passed,7,,
Course Controller Blackbox Tests › GET /courseModules › should return course modules,,passed,6,,
Course Controller Blackbox Tests › GET /courseModules › should return 400 if course_id is missing,,passed,5,,
Course Controller Blackbox Tests › GET /courseModules › should return 500 on error,,passed,7,,
Course Controller Blackbox Tests › PUT /courseModule/:module_id › should update a course module successfully,,passed,5,,
Course Controller Blackbox Tests › PUT /courseModule/:module_id › should return 404 if module not found or not updated,,passed,6,,
Course Controller Blackbox Tests › PUT /courseModule/:module_id › should return 500 on error,,passed,8,,
CourseEnrollmentController Blackbox Tests › GET /courses/:courseId/enrollments › should return all enrollments,,passed,7,,
CourseEnrollmentController Blackbox Tests › GET /courses/:courseId/enrollments › should return 500 on error,,passed,7,,
CourseEnrollmentController Blackbox Tests › GET /courses/:courseId/enrollments/:enrollmentId › should return enrollment by id if found,,passed,6,,
CourseEnrollmentController Blackbox Tests › GET /courses/:courseId/enrollments/:enrollmentId › should return 404 if enrollment not found,,passed,7,,
CourseEnrollmentController Blackbox Tests › GET /courses/:courseId/enrollments/:enrollmentId › should return 500 on error,,passed,9,,
CourseEnrollmentController Blackbox Tests › GET /courses/:courseId/enrollment-check › should return enrollment status,,passed,9,,
CourseEnrollmentController Blackbox Tests › GET /courses/:courseId/enrollment-check › should return 500 on error,,passed,10,,
CourseEnrollmentController Blackbox Tests › POST /courses/:courseId/enrollments › should create an enrollment successfully,,passed,5,,
CourseEnrollmentController Blackbox Tests › POST /courses/:courseId/enrollments › should return 500 on error,,passed,6,,
CourseEnrollmentController Blackbox Tests › PUT /courses/:courseId/enrollments/:enrollmentId › should update an enrollment successfully,,passed,5,,
CourseEnrollmentController Blackbox Tests › PUT /courses/:courseId/enrollments/:enrollmentId › should return 500 on error,,passed,5,,
CourseEnrollmentController Blackbox Tests › DELETE /courses/:courseId/enrollments/:enrollmentId › should delete an enrollment successfully,,passed,5,,
